begin,end
00010080,00011036
00010985,00010990
00010209,00010978
00000702,00010728
00010161,00010981
00010070,00010089
00000205,00010699
00010017,00010583
00000135,00010555
00010046,00010352
00010346,00010483
00000450,00010618
00010214,00010564
00010184,00010588
00000450,00010953
00010224,00010804
00010216,00010447
00010185,00011018
00010489,00010750
00010265,00010798
00010269,00010319
00010170,00010836
00000480,00010934
00000796,00010009
00010009,00010231
00010348,00010575
00010011,00010171
00010411,00010649
00010313,00010577
00010272,00010915
00010076,00010312
00010743,00010744
00010200,00010811
00010072,00010154
00000649,00010698
00010078,00010615
00010021,00010798
00000548,00010884
00000286,00010828
00010088,00010169
00010654,00010849
00000776,00010805
00010470,00010694
00010193,00010728
00010232,00010265
00010041,00010716
00010319,00010555
00010569,00010742
00000567,00010420
00000158,00010789
00010890,00010942
00010264,00010733
00010052,00010468
00010284,00010765
00010513,00010837
00010352,00010641
00000437,00010756
00010154,00010936
00010159,00010873
00000411,00010431
00010140,00010161
00010223,00010275
00010061,00010117
00000461,00010390
00010581,00010992
00010011,00010513
00010742,00010907
00010351,00010377
00010058,00010720
00000399,00010166
00010153,00010871
00010281,00010527
00010070,00010442
00010403,00010508
00010368,00010696
00010016,00010648
00010118,00010630
00010372,00010501
00010414,00010937
00010584,00011016
00010380,00010667
00010229,00010716
00010706,00010870
00010648,00010969
00010598,00010935
00010468,00010598
00000277,00010242
00000565,00000631
00010115,00010646
00010276,00011012
00010096,00010780
00000629,00010383
00010033,00010054
00010046,00010278
00000200,00011002
00010079,00010928
00010984,00010995
00000637,00010984
00010013,00010051
00010305,00010731
00010124,00010356
00010180,00010698
00010180,00010919
00010003,00010798
00010132,00010210
00010068,00010851
00010145,00010577
00010058,00011034
00010156,00010177
00010608,00010614
00010535,00010711
00000682,00010479
00000686,00010358
00010150,00010827
00010147,00010558
00010079,00010516
00010075,00010321
00000618,00000784
00010041,00010172
00010079,00010515
00010816,00010902
00010047,00010447
00010165,00010204
00010298,00010391
00010193,00010724
00010519,00010892
00010017,00010130
00000213,00000744
00010294,00010894
00010580,00010783
00010202,00010445
00000731,00010561
00010667,00010691
00010720,00010950
00010086,00010131
00000962,00010750
00010193,00010558
