station_name,x,y
葛西臨海公園,105.53384092295815,57.90780496249353
梶原,64.22546569410227,10.22644162534852
春日,66.14309377814581,29.118208349819454
霞ケ関,65.63925779546801,44.894993237996026
片倉,-83.42426840255015,60.01044057881487
勝どき,75.02288512394193,51.22807607170928
金町,108.67963732526857,1.932343832677935
要町,46.19525733049871,18.219680281698672
鐘ケ淵,90.41803493069257,18.094827684781613
河辺,-103.99908459505328,-4.79056969323427
蒲田,52.474136177384885,94.65214369143855
上井草,11.800005812089045,21.812920632623918
上板橋,38.26465374443973,4.632345595899966
上北沢,19.035337537406054,46.98229830248076
上北台,-56.39584725815412,12.591033764351653
上石神井,7.623289064541256,21.315795271549746
上中里,63.882188834968154,12.20343581331989
上野毛,24.615675220127756,72.38326732599919
上町,27.440353375371426,58.35659217234586
