begin_x,begin_y,begin_z,end_x,end_y,end_z
64.89894219871154,60.65854947487,15.07,58.27714974862592,44.7630793267314,17.34
62.55158234285173,40.99863211844106,19.01,70.05209090115977,26.39098058754037,11.57
97.78232251315308,35.68265287317052,4.39,81.46014355874304,33.98563050984386,11.46
88.21997326435992,48.88079926292988,10.56,76.87331085989327,35.30738260864443,15.07
51.70330708203228,76.2855885556738,9.89,53.85523524453606,58.77810729451591,12.77
72.62394292522266,52.92740817275417,17.3,63.7739385661533,66.59333920885037,12.51
67.24630205457134,58.01687328938907,15.96,51.44466885588623,64.67790295357854,11.1
65.67413036529067,31.618431244738957,16.32,65.1550376333148,48.72028460127232,18.79
82.32432942953679,54.341891815171,12.61,66.80966841997542,49.633285950374656,18.86
75.25028333963283,41.23923233220509,18.24,61.2972595972153,29.88453254729269,14.64
33.50382145244228,26.651812079749824,5.89,49.69050594286384,34.31663224837471,12.49
69.19662317281912,34.94105419187649,17.9,82.20518148266075,44.4151819950461,14.7
52.36733893231909,41.20613871854689,14.24,40.75332015924297,29.519043142426423,8.23
47.31808142744884,27.25131462364641,8.99,61.85267792275258,20.002473949095588,7.1
69.96926854784513,43.89601270365023,19.75,53.86177385138104,38.55586672225133,14.98
76.29282787480079,38.40380329549932,17.0,59.8355177123576,31.1661763210492,15.02
49.78894830141122,45.64711680034776,12.61,64.18514428525933,54.26455265984066,17.13
46.25374153613784,54.44247717172575,9.64,61.19772747086385,47.75584008686662,17.9
33.50382145244228,26.651812079749824,5.89,18.00114788875649,34.9464216682492,2.98
64.08924471825475,32.56541926836478,16.88,47.87313649705143,39.99998972667117,12.39
62.74374473278528,52.156660883674384,17.26,69.64124843799875,35.99395870239182,18.37
43.82791839817962,83.1920194454773,6.66,57.14851355671051,71.57451224305674,11.29
62.9253727005923,38.255764454489935,18.97,64.3874778413847,55.02631368991203,16.82
42.17074481996588,62.358773752917145,6.83,57.440208072995496,69.94086052289167,11.6
69.6423382058028,53.10668053428103,17.74,72.09576879485901,35.20897974024334,17.39
20.621676208180727,20.04587920923449,4.31,17.50530353665208,3.549414743488397,2.82
74.20628578070549,37.040123185785454,17.32,58.27714974862592,44.7630793267314,17.34
76.45629304582195,42.75479749833087,17.78,84.85477027694236,56.72725311240503,10.03
75.5419778559178,38.67259732477018,17.44,92.52637238092058,42.43728991366988,8.16
76.87367411582795,49.95117663009728,16.89,61.890093284118045,59.36008500367195,15.14
59.41668361860253,22.83041752969847,9.04,73.87100055214476,33.42336781376832,15.56
35.971055767047496,20.118817825850883,3.97,22.10775624073459,31.190332515396328,4.13
39.12157449651912,24.250121703411832,5.9,36.2424079509385,40.385049508306864,7.64
67.24630205457134,58.01687328938907,15.96,79.57520850890373,47.01806939065515,16.17
47.692598297048455,90.33827990920436,6.9,44.44363720902945,73.00836437957781,7.56
47.99373746766621,77.43288111287596,8.81,63.75940832872461,71.58747034167602,10.73
54.8127778907916,26.08630193386626,10.32,60.70297288657383,41.79779423124458,18.48
73.88553078957344,41.605496085671845,18.74,77.29505100113613,57.74911889239464,13.31
64.90366452587276,63.57087162129292,13.71,57.06678097119993,77.71255043075803,10.12
62.71105169858103,48.93087611253048,18.16,69.88099735548958,34.27324435734696,17.48
53.67360727673936,83.06203361278881,9.47,53.41315277090955,66.39491800866755,11.58
67.53472726744415,33.40771200315558,17.35,55.789209845681725,47.16920184175315,15.57
63.36527563860038,60.03323633259147,15.17,69.96926854784513,43.89601270365023,19.75
28.32669785824289,26.978407999144423,5.01,38.72017668768055,40.89353672065187,8.59
69.8301415245098,43.84950621432083,19.76,68.36876289558678,27.733146302254,13.02
67.19762575919967,48.93892417130915,19.26,58.20558832930717,35.314539170312806,16.28
60.43198395861751,67.7530086441167,12.3,56.39330446659066,84.3699107647566,9.33
76.49625119874054,37.701619653724975,16.48,60.082168492628085,40.69273656771691,18.21
87.57483072272834,57.27126841176021,8.32,80.80265031530121,42.424768429976254,15.27
83.67418848624311,53.79336135258372,11.94,65.89971230129781,51.752056604289,18.24
82.20518148266075,44.4151819950461,14.7,67.3095085873717,36.44659968759438,18.66
75.36616198308639,41.53796788623454,18.19,64.3874778413847,55.02631368991203,16.82
35.75310220568939,83.45243637666266,3.58,52.44580221440719,80.96477419977997,9.55
67.24630205457134,58.01687328938907,15.96,60.70297288657383,41.79779423124458,18.48
42.68802127226833,46.5597496121318,9.21,56.00171456800924,37.52540069777548,15.82
50.680741623313295,56.93243323319195,11.75,51.96848391502333,73.85238444312398,10.12
81.79252273981596,53.52825762767259,13.15,71.14839731480564,40.04560678182581,19.22
72.18876231437581,43.07453819726027,19.4,54.38449914271408,42.80488294407348,15.26
73.88553078957344,41.605496085671845,18.74,84.41777338641175,56.29453823054815,10.48
71.87490918601311,38.27812685681081,18.65,84.49296736508768,49.80944512965395,12.65
65.3762604980954,51.88752131017517,18.04,78.66452587834642,40.13102679727549,16.04
57.05660980499778,54.63604730475871,14.57,43.935442155125095,65.51765071414738,7.54
73.88262474208564,69.15484010306304,8.2,68.3229926476926,52.112400528525605,18.26
